术语	出现次数
中国式现代化	27
社会主义现代化	22
科技创新	16
新质生产力	9
人工智能	8
共同富裕	8
国内大循环	6
区域协调发展	6
基本公共服务均等化	5
绿色发展	5
国家安全体系	5
强国建设	5
新发展格局	5
文化产业	5
社会保障	4
新型能源体系	4
公共安全治理	4
全过程人民民主	4
现代化产业体系	4
原始创新	4
产业创新	4
农业农村现代化	4
碳达峰	3
高质量充分就业	3
劳动报酬	3
中等收入群体	3
国防和军队现代化	3
战斗力建设	3
全面从严治党	3
反腐败斗争	3
创新创造活力	3
高水平科技自立自强	3
关键核心技术攻关	3
绿色生产生活方式	3
全国统一大市场	3
宏观经济治理	3
文化事业	3
数字经济	2
生物制造	2
新能源	2
主体功能区	2
新型城镇化	2
灵活就业	2
新就业形态	2
收入分配制度	2
健康中国	2
生态保护红线	2
国家公园	2
国土空间规划	2
新安全格局	2
社会治理体系	2
社会工作	2
社会组织	2
志愿服务	2
数据资源开发	2
军事治理现代化	2
一体化国家战略	2
国防科技工业	2
思想引领力	2
党内民主	2
正确用人导向	2
干部考核评价	2
干部队伍	2
基层党组织	2
中央八项规定	2
作风建设	2
党和国家监督体系	2
社会主义民主法治	2
中华民族共同体	2
全面依法治国	2
一国两制	2
人类命运共同体	2
开放包容	2
十五五规划	2
民族复兴	2
数字中国	2
国际双循环	2
要素市场化配置	2
制度型开放	2
多边贸易体制	2
社会保障体系	2
房地产高质量发展	2
人口高质量发展	2
乡村全面振兴	2
中华文明传播力	2
先进战斗力	2
一体化国家战略体系	2
新型储能	1
氢能	1
碳中和	1
集成电路	1
量子科技	1
低空经济	1
航空航天	1
新材料	1
脑机接口	1
具身智能	1
第六代移动通信	1
工业母机	1
高端仪器	1
基础软件	1
先进材料	1
科技金融	1
绿色金融	1
普惠金融	1
养老金融	1
数字金融	1
数字人民币	1
自由贸易试验区	1
海南自由贸易港	1
西部陆海新通道	1
高标准农田	1
黑土地保护	1
盐碱地综合利用	1
种业振兴	1
林下经济	1
农业社会化服务	1
县域经济	1
农村集体经济	1
京津冀	1
长三角	1
粤港澳大湾区	1
长江经济带	1
黄河流域	1
雄安新区	1
成渝地区双城经济圈	1
常住地登记户口	1
超大特大城市治理	1
城市群一体化	1
都市圈同城化	1
城市更新	1
海洋经济	1
海洋强国	1
海洋装备制造业	1
海洋新兴产业	1
现代航运服务业	1
海洋调查	1
海洋能源资源	1
海域海岛开发	1
生态环境保护修复	1
深海极地考察	1
就业优先战略	1
就业促进机制	1
新职业	1
新岗位	1
人力资源供需匹配	1
终身职业技能培训	1
结构性就业矛盾	1
劳动标准体系	1
劳动关系协商	1
劳动者权益保障	1
按劳分配	1
初次分配机制	1
工资集体协商	1
最低工资标准	1
财产性收入	1
转移支付	1
公益慈善	1
收入分配秩序	1
财富积累机制	1
橄榄型分配	1
立德树人	1
思政课堂	1
社会课堂	1
劳动教育	1
教育评价体系	1
义务教育优质均衡	1
普通高中办学	1
特殊教育	1
专门教育	1
高等教育提质	1
优质本科教育	1
高职院校	1
民办教育	1
教育数字化	1
终身学习	1
养老保险全国统筹	1
医疗保障体系	1
基本医疗保险	1
药品集采	1
医保支付	1
工伤保险	1
职业伤害保障	1
社保关系转移	1
商业保险	1
社保公共服务	1
社会救助体系	1
空巢老人	1
困境儿童	1
退役军人服务	1
房地产发展新模式	1
保障性住房	1
改善性住房	1
房屋品质提升	1
物业服务	1
房屋全生命周期	1
健康优先发展	1
爱国卫生运动	1
公共卫生能力	1
疾控体系	1
分级诊疗	1
基层医疗机构	1
医疗卫生强基	1
全民健康数智化	1
中医药传承创新	1
中西医结合	1
创新药	1
医疗器械	1
心理健康	1
精神卫生	1
人口服务体系	1
生育支持政策	1
育儿补贴	1
个人所得税抵扣	1
生育保险	1
生育休假	1
早孕关爱	1
